0,0,0
0,6,0
0,23,0
0,32,0
0,39,0
0,65,0
0,76,0
0,98,0
0,100,0
0,106,0
0,123,0
0,132,0
0,139,0
0,165,0
0,176,0
0,198,0
0,200,0
0,206,0
0,216,0
0,232,0
0,265,0
0,276,0
0,280,0
0,298,0
0,300,0
0,306,0
0,323,0
0,339,0
0,365,0
0,376,0
0,398,0
0,0,1
0,6,1
0,23,1
0,32,1
0,39,1
0,65,1
0,76,1
0,98,1
0,100,1
0,106,1
0,123,1
0,132,1
0,139,1
0,165,1
0,176,1
0,195,1
0,198,1
0,200,1
0,206,1
0,223,1
0,232,1
0,239,1
0,265,1
0,298,1
0,300,1
0,306,1
0,321,1
0,323,1
0,332,1
0,339,1
0,365,1
0,376,1
0,398,1
0,0,2
0,6,2
0,23,2
0,32,2
0,39,2
0,65,2
0,76,2
0,98,2
0,100,2
0,106,2
0,123,2
0,132,2
0,139,2
0,165,2
0,176,2
0,188,2
0,198,2
0,200,2
0,206,2
0,223,2
0,232,2
0,239,2
0,265,2
0,276,2
0,289,2
0,298,2
0,300,2
0,306,2
0,323,2
0,332,2
0,339,2
0,365,2
0,376,2
0,398,2
0,0,3
0,6,3
0,23,3
0,32,3
0,39,3
0,65,3
0,98,3
0,100,3
0,106,3
0,123,3
0,132,3
0,139,3
0,165,3
0,198,3
0,200,3
0,206,3
0,223,3
0,232,3
0,239,3
0,265,3
0,298,3
0,300,3
0,306,3
0,332,3
0,339,3
0,365,3
0,398,3
0,0,4
0,6,4
0,7,4
0,23,4
0,32,4
0,39,4
0,65,4
0,76,4
0,98,4
0,100,4
0,106,4
0,107,4
0,123,4
0,132,4
0,139,4
0,165,4
0,176,4
0,200,4
0,206,4
0,207,4
0,223,4
0,232,4
0,239,4
0,265,4
0,276,4
0,298,4
0,0,5
0,6,5
0,23,5
0,32,5
0,39,5
0,65,5
0,76,5
0,100,5
0,103,5
0,106,5
0,123,5
0,132,5
0,139,5
0,165,5
0,176,5
0,197,5
0,200,5
0,206,5
0,223,5
0,232,5
0,239,5
0,265,5
0,276,5
0,300,5
0,306,5
0,323,5
0,332,5
0,339,5
0,365,5
0,376,5
0,0,6
0,6,6
0,23,6
0,32,6
0,39,6
0,65,6
0,76,6
0,78,6
0,98,6
0,100,6
0,106,6
0,123,6
0,132,6
0,139,6
0,165,6
0,176,6
0,178,6
0,198,6
0,200,6
0,206,6
0,223,6
0,232,6
0,239,6
0,265,6
0,276,6
